order_id,order_date,region,category,channel,units_sold,unit_price,revenue,discount_pct,customer_rating
ORD-1053,2025-02-15,West,Furniture,Partner,248,1513.7,375397.6,0.244,3.7
ORD-1054,2025-12-01,North,Apparel,Online,129,456.46,58883.34,0.062,4.9
ORD-1055,2025-04-28,North,Apparel,Online,242,234.5,56749.0,0.28,4.2
ORD-1056,2025-08-20,West,Apparel,Online,167,2286.09,381777.03,0.26,3.7
ORD-1057,2025-11-09,West,Furniture,Retail,137,1834.05,251264.85,0.154,4.3
ORD-1058,2025-06-18,North,Furniture,Online,125,739.51,92438.75,0.081,4.2
ORD-1059,2025-07-11,West,Apparel,Online,114,266.44,30374.16,0.072,3.6
ORD-1060,2025-10-13,West,Electronics,Retail,15,2073.35,31100.25,0.105,3.5
ORD-1061,2025-12-18,South,Apparel,Online,219,1347.14,295023.66,0.096,3.7
ORD-1062,2025-11-26,West,Furniture,Retail,204,886.38,180821.52,0.322,5.0
ORD-1063,2025-10-19,North,Electronics,Partner,18,2187.8,39380.4,0.15,4.7
ORD-1064,2025-07-11,South,Apparel,Retail,98,234.65,22995.7,0.118,4.7
ORD-1065,2025-07-09,North,Apparel,Online,147,1834.58,269683.26,0.262,2.6
ORD-1066,2025-02-25,North,Electronics,Online,184,631.23,116146.32,0.07,2.6
ORD-1067,2025-08-22,North,Furniture,Retail,83,663.88,55102.04,0.245,4.4
ORD-1068,2025-12-23,North,Furniture,Retail,90,1501.44,135129.6,0.038,2.6
ORD-1069,2025-07-13,South,Electronics,Partner,164,1432.82,234982.48,0.242,4.1
ORD-1070,2025-05-28,North,Electronics,Retail,57,1709.6,97447.2,0.186,4.2
ORD-1071,2025-06-01,West,Apparel,Online,40,1273.59,50943.6,0.152,3.4
ORD-1072,2025-07-06,East,Apparel,Retail,240,1732.66,415838.4,0.152,4.3
ORD-1073,2025-04-27,North,Stationery,Retail,142,854.85,121388.7,0.085,3.7
ORD-1074,2025-08-28,East,Furniture,Retail,199,886.98,176509.02,0.074,4.5
ORD-1075,2025-10-23,East,Electronics,Partner,179,757.62,135613.98,0.332,2.7
ORD-1076,2025-04-23,West,Apparel,Retail,213,1233.96,262833.48,0.278,2.7
ORD-1077,2025-04-10,East,Apparel,Partner,118,1042.03,122959.54,0.186,3.6
ORD-1078,2025-08-09,East,Stationery,Online,174,922.13,160450.62,0.042,3.0
ORD-1079,2025-12-06,South,Furniture,Partner,66,1813.77,119708.82,0.169,4.3
ORD-1080,2025-04-10,South,Stationery,Online,149,2355.56,350978.44,0.106,4.3
ORD-1081,2025-01-18,East,Furniture,Partner,69,745.43,51434.67,0.304,3.7
ORD-1082,2025-08-16,West,Stationery,Online,11,1428.87,15717.57,0.338,3.1
ORD-1083,2025-02-13,West,Electronics,Partner,249,380.12,94649.88,0.22,2.6
ORD-1084,2025-05-03,South,Electronics,Partner,81,1969.4,159521.4,0.268,4.0
ORD-1085,2025-07-15,West,Stationery,Partner,120,1888.58,226629.6,0.347,3.3
ORD-1086,2025-12-04,South,Furniture,Retail,35,1509.96,52848.6,0.231,2.9
ORD-1087,2025-03-01,West,Apparel,Partner,93,1378.54,128204.22,0.208,3.2
ORD-1088,2025-05-23,West,Electronics,Partner,123,776.88,95556.24,0.082,3.2
ORD-1089,2025-09-08,South,Stationery,Online,106,1089.32,115467.92,0.025,2.9
ORD-1090,2025-10-10,West,Electronics,Retail,162,1476.7,239225.4,0.241,4.2
ORD-1091,2025-08-15,North,Electronics,Retail,144,1261.08,181595.52,0.257,4.0
ORD-1092,2025-11-27,North,Stationery,Partner,18,328.23,5908.14,0.014,4.4
ORD-1093,2025-08-09,South,Apparel,Partner,245,1303.24,319293.8,0.285,4.9
ORD-1094,2025-06-11,North,Furniture,Retail,245,913.35,223770.75,0.144,3.7
ORD-1095,2025-09-02,West,Electronics,Retail,210,1974.93,414735.3,0.088,2.8
ORD-1096,2025-01-22,West,Apparel,Online,211,2092.0,441412.0,0.066,3.4
ORD-1097,2025-01-07,East,Furniture,Retail,260,1545.93,401941.8,0.153,4.2
ORD-1098,2025-11-20,South,Furniture,Retail,67,185.82,12449.94,0.193,3.9
ORD-1099,2025-02-15,North,Furniture,Retail,52,632.32,32880.64,0.326,3.2
ORD-1100,2025-08-16,South,Apparel,Partner,144,1067.32,153694.08,0.051,3.0
ORD-1101,2025-05-25,West,Stationery,Partner,74,2089.98,154658.52,0.094,2.5
ORD-1102,2025-10-22,West,Furniture,Retail,157,2029.45,318623.65,0.189,3.4
ORD-1103,2025-06-28,South,Furniture,Partner,198,1158.19,229321.62,0.134,4.6
ORD-1104,2025-12-16,West,Apparel,Partner,215,219.52,47196.8,0.277,4.1
ORD-1105,2025-01-05,East,Electronics,Retail,82,1249.35,102446.7,0.035,4.8
ORD-1106,2025-07-28,South,Electronics,Retail,12,1767.17,21206.04,0.274,3.2
ORD-1107,2025-06-28,West,Stationery,Partner,208,1601.63,333139.04,0.252,4.4
ORD-1108,2025-04-21,East,Furniture,Partner,23,1527.81,35139.63,0.032,4.9
ORD-1109,2025-12-10,North,Electronics,Retail,56,1131.59,63369.04,0.279,3.2
ORD-1110,2025-04-17,West,Furniture,Online,196,1101.97,215986.12,0.061,4.0
ORD-1111,2025-04-16,South,Furniture,Retail,200,1532.94,306588.0,0.223,3.6
ORD-1112,2025-08-10,South,Electronics,Retail,9,2169.51,19525.59,0.331,5.0
ORD-1113,2025-07-23,East,Apparel,Retail,158,1576.78,249131.24,0.07,3.5
ORD-1114,2025-07-19,East,Stationery,Partner,252,363.17,91518.84,0.103,4.9
ORD-1115,2025-10-28,North,Apparel,Retail,207,745.82,154384.74,0.272,3.1
ORD-1116,2025-04-20,East,Furniture,Partner,185,619.33,114576.05,0.034,4.1
ORD-1117,2025-08-02,East,Furniture,Online,25,824.37,20609.25,0.318,3.3
ORD-1118,2025-03-26,East,Stationery,Online,217,520.46,112939.82,0.09,4.6
ORD-1119,2025-05-24,East,Electronics,Retail,251,2325.64,583735.64,0.337,2.9
